id,created_at,text
837382278024159232,2017-03-02 19:21:07,b'Here we go! Giving away 5 #AmazonEcho Dots. Enter by doing a @mylestoned of your fave vacation here\xe2\x80\xa6 https://t.co/nczxIBIo4k'
837381871319265281,2017-03-02 19:19:30,b'ach und nen #amazonecho hab ich mir auch noch bestellt \xf0\x9f\x94\xa5\xf0\x9f\xa4\x93'
837380515581808643,2017-03-02 19:14:07,b'Shopping with #Alexa? Survey Reveals Purchase Behavior of #AmazonEcho Owners https://t.co/8RiHMEsy6T https://t.co/3CCcXu0Zfe'
837378782700974080,2017-03-02 19:07:14,b'Shopping with #Alexa? Survey Reveals Purchase Behavior of #AmazonEcho Owners https://t.co/EG7ypbSKfe https://t.co/SmJqhunOqq'
837378510784114690,2017-03-02 19:06:09,"b'@verge This, like the #AmazonEcho, should probably go on a murderer\'s list of ""what not to buy""'"
837377318716911618,2017-03-02 19:01:25,b'@Ear_Play @amazonecho (H/T @thedavedev)'
837377225188077568,2017-03-02 19:01:02,"b""The first non-@Ear_Play @amazonecho #Alexa game that I'm excited to check out! This looks...err...sounds great! https://t.co/mvbLPji5qw"""
837377056929382404,2017-03-02 19:00:22,b'Our own @austinlparker built an interface &amp; @amazonecho skill to get info about test deployments during standups\xe2\x80\xa6 https://t.co/l5TBjAtU9r'
837376403532353537,2017-03-02 18:57:46,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837375373394460672,2017-03-02 18:53:41,"b""Do you want a free $20 gift card to Amazon?! I suggest listening to today's episode on the @amazonecho! #Alexa\xe2\x80\xa6 https://t.co/HKJX6ohPcU"""
837372762327035904,2017-03-02 18:43:18,b'A Revolution in Home Healthcare https://t.co/iNIMIBli4D #healthcare #innovation #revolution #amazonecho #amazon #echo #doctor #patients'
837371413539454978,2017-03-02 18:37:57,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837371064976084992,2017-03-02 18:36:34,"b'Todos muy atentos en #capsideLAB, esperando su recompensa: \xf0\x9f\x8d\xbb\xc2\xa1@MoritzBarcelona y @amazonecho !\n\n#Alexa #AWS #NodeJS\xe2\x80\xa6 https://t.co/5UyO6E1ehg'"
837370388439007232,2017-03-02 18:33:52,b'RT @FullSail: CONTEST: Retweet to enter to win an @amazonecho dot! Use #FullSailOscars all night to get on our leaderboard for more chances\xe2\x80\xa6'
837370176366608385,2017-03-02 18:33:02,"b'RT @Wilkin_Tom: I\'m standing in my living room shouting ""Alexa"" completely forgetting I unplugged the #AmazonEcho  because my router is bro\xe2\x80\xa6'"
837369880974245888,2017-03-02 18:31:51,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837368813695959040,2017-03-02 18:27:37,"b'I\'m standing in my living room shouting ""Alexa"" completely forgetting I unplugged the #AmazonEcho  because my router is broken...'"
837368489430016001,2017-03-02 18:26:20,"b""Still can't believe I won at midnight bingo last night!! #amazonecho #bingo @ Richard B. Flynn\xe2\x80\xa6 https://t.co/RjIhw5gt7E"""
837368102409093120,2017-03-02 18:24:47,"b'RT @ThinkSmartbox: Introducing the #AmazonEcho grid set! Explore the features in more detail, and see it in action on our website https://t\xe2\x80\xa6'"
837367704843505664,2017-03-02 18:23:13,b'8 Things Amazon Echo Can Do for Travelers https://t.co/JHC8RfC3XI #amazon #echo #coolTechnology #AmazonEcho #Travel #JohnnyJet #TechGuy'
837367651072684032,2017-03-02 18:23:00,"b'""Ultimate Guide to Voice Assistants"" /by @bentossell https://t.co/hRgm8yT3c1 #ArtificialIntelligence #AmazonEcho #GoogleHome #Voice #Alexa'"
837366916972961792,2017-03-02 18:20:05,b'A cherry way to enjoy Alexa: https://t.co/dd77pYhbA5\n#alexaskin  #amazonecho #teelieturner https://t.co/tAQ97jAJI6'
837366689977229313,2017-03-02 18:19:11,b'@tuckdmt406 @amazonecho @appkettlevision voice control my kettle'
837364713356943360,2017-03-02 18:11:19,b'Listening to @BBCRadioLondon courtesy of my @amazonecho and fantasizing that I live in a country that cares about #realnews.'
837364392106819584,2017-03-02 18:10:03,b'RT @BourseetTrading: \xe2\x9a\xa1\xef\xb8\x8fChat App Line is developing an #AI assistant and #AmazonEcho-style smart speaker. \n#Apps #IoT #Smart \nhttps://t.co/y\xe2\x80\xa6'
837363942758498308,2017-03-02 18:08:16,b'RT @Maplin_MSF: Turn your home into a #SmartHome with #Philipshue #Hive #Lightwave &amp; control them with the #AmazonEcho #askmaplin https://t\xe2\x80\xa6'
837363455749423104,2017-03-02 18:06:19,b'Turn your home into a #SmartHome with #Philipshue #Hive #Lightwave &amp; control them with the #AmazonEcho #askmaplin https://t.co/08j3nYcKDH'
837362080323887104,2017-03-02 18:00:52,b'No places available at #capsideLAB today! Featuring @amazonecho https://t.co/E7RQNq1wcM'
837359332941406208,2017-03-02 17:49:57,b'@TPLINKNA @triedtrueblog @amazonecho. Quaint'
837355396683739144,2017-03-02 17:34:18,b'@Geekdom May we chat about my @buttonpushapps holding an @amazonecho @Meetup    The @alexadevs have offered to assist. #voicefirst #startup'
837354821342613504,2017-03-02 17:32:01,b'Das ist meine neue Loeblingsskill :D https://t.co/pRrJgfpRxQ'
837354801839149056,2017-03-02 17:31:56,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837353836142604288,2017-03-02 17:28:06,b'RT @Netzpiloten: Wir probieren aus: #GoogleHome vs. @amazonecho. Wer macht das Rennen? @dshonas hat beides f\xc3\xbcr euch getestet: https://t.co/\xe2\x80\xa6'
837352303418036226,2017-03-02 17:22:01,b'Wir probieren aus: #GoogleHome vs. @amazonecho. Wer macht das Rennen? @dshonas hat beides f\xc3\xbcr euch getestet: https://t.co/OzdJyWp1Ap'
837352045069930497,2017-03-02 17:20:59,"b'RT @terryhiltonjr: @ijablokov @TechRepublic I choose @amazonecho any day. She introduced me to Alan Watts, plays TED talks and more to keep\xe2\x80\xa6'"
837350795100073984,2017-03-02 17:16:01,b'Marketing idea: Amazon Echo should be rebranded Amazon snichbox.\n\n#Amazon #AmazonEcho #Echo'
837350645422174209,2017-03-02 17:15:25,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837350632805781504,2017-03-02 17:15:22,"b'@ijablokov @TechRepublic I choose @amazonecho any day. She introduced me to Alan Watts, plays TED talks and more to keep me inspired. \xf0\x9f\xa4\x96\xf0\x9f\x91\xb8\xf0\x9f\x91\x8c\xf0\x9f\x8f\xbb'"
837349589321646080,2017-03-02 17:11:13,b'RT @MarroneLaw: How #Amazon #Echo Users Can Control #Privacy https://t.co/SeQCS7INLE\n\nWould you still buy #AmazonEcho? \n#AmazonAlexa #Alexa\xe2\x80\xa6'
837349290976518145,2017-03-02 17:10:02,b'@iJ0rd8n @amazonecho @appkettlevision what will kettlevison do?'
837349173166927872,2017-03-02 17:09:34,b'I\xe2\x80\x99m concerned that @AlarmDotCom Is unaware how crippled the @amazonecho integration is without support for their own 2-factor auth'
837349123661660161,2017-03-02 17:09:22,b'RT @leeslearning: Early dismissal...no problem! #AmazonEcho #Vocabulary Skills @MadCoSchools @JenTaylor_MCSS @Alabama_Reading @AlabamaGRIT\xe2\x80\xa6'
837348967792848896,2017-03-02 17:08:45,b'How #Amazon #Echo Users Can Control #Privacy https://t.co/SeQCS7INLE\n\nWould you still buy #AmazonEcho? \n#AmazonAlexa #Alexa #privacyissues'
837347341581631490,2017-03-02 17:02:18,"b'RT @thedavedev: Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL #AmazonEch\xe2\x80\xa6'"
837347080666509314,2017-03-02 17:01:15,"b'Amazon\xe2\x80\x99s Alexa smart assistant reaches 10,000 skills, up from just 1K in June | Geekwire https://t.co/R2KCETXFtL\xe2\x80\xa6 https://t.co/KbMphe8UXc'"
837341676125433856,2017-03-02 16:39:47,"b""RT @peterfacinelli: You can always use a little extra help. Especially when you're in a rush. Thanks Alexa. #JustAsk @AmazonEcho #sponsored\xe2\x80\xa6"""
837337458752761858,2017-03-02 16:23:01,"b'#AmazonEcho ist jedem zu empfehlen, der sich mit digitalen Trends befassen und Zukunftsluft schnuppern m\xc3\xb6chte. https://t.co/6KtceVKzsP'"
837336610777743362,2017-03-02 16:19:39,"b""\xe2\x9a\xa1\xef\xb8\x8fAmazon's Alexa U.K. Tv ad confuses Alexa \xf0\x9f\x98\x82\xf0\x9f\x98\x82  #tcb @amazonecho ! #elvis #elvisjr"""
837336375070437376,2017-03-02 16:18:43,b'#AmazonEcho https://t.co/GJHfMH3Brn'
837336301573660675,2017-03-02 16:18:25,b'\xe2\x9a\xa1\xef\xb8\x8fAlexa mutes my connected tv feed every time her own ad is shown \xf0\x9f\x98\x82\xf0\x9f\x98\x82#tcb @amazonecho ! #elvis #elvisjr'
837335522624294912,2017-03-02 16:15:20,b'@DeutscheWelle zu Besuch bei @avtestorg Filmaufnahmen mit  #ioTsecurity Experten zur Sicherheit vom #AmazonEcho und\xe2\x80\xa6 https://t.co/0Ti6gA6JwG'
837334596312256512,2017-03-02 16:11:39,"b""Having the @amazonecho in our house for the last 2 months I should really try and use it more...can't wait for @appkettlevision function :-)"""
837333914175815681,2017-03-02 16:08:56,"b'RT @jejohnson322: Tell your @amazonecho: ""#Alexa, ask @NPROne to play @1A.""\nhttps://t.co/z28Fyqathf'"
837333236984516614,2017-03-02 16:06:15,b'@amazonecho @amazon @AmazonHelp'
837332736310456321,2017-03-02 16:04:15,b'AI Wars: Google Takes On Amazon Alexa By Including The Assistant In Phones https://t.co/HshqXK8SCk #iot @amazonecho\xe2\x80\xa6 https://t.co/h8tm50q4fZ'
837330713498238976,2017-03-02 15:56:13,b'RT @GGattr: #Amazon #AmazonEcho #AmazonAlexa https://t.co/X2I44iNFiY'
837329884171075585,2017-03-02 15:52:55,b'@Sean_Reay Thanks so much! @canvastv @amazonecho https://t.co/qAKMkpU9U7'
837328404613574656,2017-03-02 15:47:03,b'Hater w\xc3\xbcrden sagen es sei Fake \xf0\x9f\x98\x89#AmazonEcho @VivaAlexTV @SuperSteffini https://t.co/OYKhdt99Cm'
837327201796255747,2017-03-02 15:42:16,b'#Amazon #AmazonEcho #AmazonAlexa https://t.co/X2I44iNFiY'
837326389854502912,2017-03-02 15:39:02,b'RT @vgeller: #NewProblems How one listener &amp; an @amazonecho may have skewed digital #radio @Nielsen ratings https://t.co/aOnfUpYK4r @AllAcc\xe2\x80\xa6'
837326082323988481,2017-03-02 15:37:49,b'RT @CecileGauffriau: @Mattel va lancer #Aristote sa version #AmazonEcho pour les enfants \xf0\x9f\x91\xb6 #\xc3\xa9ducatifs #recreatif #normatif ? #CommerceReloa\xe2\x80\xa6'
837324157771730944,2017-03-02 15:30:10,b'Calling all #Benefit pros attending #WBR17! Want to win an #AmazonEcho? Stop by Booth 310! https://t.co/SYuxEq7Alc https://t.co/1d63hVT8Q0'
